education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,debt_to_income_ratio,total_assets_value,loan_to_asset_ratio
0,0,9600000,29900000,12,778,0,3.1145833333333335,50700000,0.5897435897435898
1,1,4100000,12200000,8,417,1,2.975609756097561,17000000,0.7176470588235294
0,0,9100000,29700000,20,506,1,3.2637362637362637,57700000,0.5147313691507799
0,0,8200000,30700000,8,467,1,3.7439024390243905,52700000,0.5825426944971537
1,1,9800000,24200000,20,382,1,2.4693877551020407,55000000,0.44
0,1,4800000,13500000,10,319,1,2.8125,33900000,0.39823008849557523
0,0,8700000,33000000,4,678,0,3.793103448275862,70800000,0.4661016949152542
0,1,5700000,15000000,20,382,1,2.6315789473684212,36700000,0.4087193460490463
0,1,800000,2200000,20,782,0,2.75,5500000,0.4
1,0,1100000,4300000,10,388,1,3.909090909090909,9500000,0.45263157894736844
0,1,2900000,11200000,2,547,0,3.8620689655172415,25400000,0.4409448818897638
1,1,6700000,22700000,18,538,1,3.388059701492537,47900000,0.47390396659707723
1,1,5000000,11600000,16,311,1,2.32,34900000,0.332378223495702
0,1,9100000,31500000,14,679,0,3.4615384615384617,53300000,0.5909943714821764
1,0,1900000,7400000,6,469,1,3.8947368421052633,10900000,0.6788990825688074
1,0,4700000,10700000,10,794,0,2.276595744680851,30400000,0.3519736842105263
0,1,500000,1600000,4,663,0,3.2,3400000,0.47058823529411764
1,1,2900000,9400000,14,780,0,3.2413793103448274,16700000,0.562874251497006
0,0,2700000,10300000,10,736,0,3.814814814814815,10500000,0.9809523809523809
0,0,6300000,14600000,12,652,0,2.3174603174603177,43200000,0.33796296296296297
0,0,5000000,19400000,12,315,1,3.88,35200000,0.5511363636363636
0,0,5800000,14000000,16,530,1,2.413793103448276,42700000,0.32786885245901637
0,1,6500000,25700000,18,311,1,3.953846153846154,42800000,0.6004672897196262
1,1,500000,1400000,2,551,0,2.8,2900000,0.4827586206896552
1,0,4900000,9800000,16,324,1,2.0,25800000,0.3798449612403101
1,0,3100000,9500000,20,514,1,3.064516129032258,20200000,0.47029702970297027
0,0,8200000,28100000,12,696,0,3.426829268292683,54600000,0.5146520146520146
1,1,2400000,5600000,4,662,0,2.3333333333333335,16600000,0.3373493975903614
1,1,7000000,24000000,6,336,1,3.4285714285714284,51400000,0.4669260700389105
